x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,y
0.3000000000000007,0.0,-8.0,4.0,4.0,-12.0,-0.07299999999999995,2.0,23.0,-0.24000000000000002,0.01,0.3100000000000005,22.0,43.0,5.600000000000001,17.0,22.0,-4.900000000000006,-5.0,3.0,-133.0,0.6000000000000014,29.0,-0.007000000000000006,-0.09999999999999432,0
1.1999999999999993,0.0,3.0,-1.0,-2.0,4.0,0.025000000000000022,1.0,6.0,-0.06,0.0,0.08999999999999986,-2.0,-17.0,0.509999999999998,2.0,80.0,5.059999999999988,0.0,-1.0,201.0,-0.9000000000000004,51.0,0.0,-0.8000000000000114,1
0.0,0.0,0.0,6.0,-6.0,-6.0,-0.03599999999999992,8.0,27.0,-0.24,0.0,0.4300000000000006,8.0,7.0,2.6199999999999974,3.0,-13.0,-2.450000000000003,-3.0,3.0,55.0,0.0,219.0,-0.0040000000000000036,-0.30000000000001137,1
0.6999999999999993,0.0,20.0,-22.0,2.0,42.0,0.25600000000000006,10.0,-73.0,0.97,-0.05,-0.7699999999999996,-5.0,-41.0,0.6300000000000008,-10.0,-9.0,3.2099999999999937,0.0,-8.0,-63.0,0.5999999999999996,-274.0,0.019000000000000017,2.0999999999999943,1
-1.1999999999999993,0.0,19.0,-24.0,5.0,43.0,0.26299999999999996,60.0,-62.0,1.49,0.0,-0.019999999999999574,2.0,39.0,-2.16,-9.0,29.0,5.11999999999999,6.0,-2.0,46.0,2.1999999999999993,-369.0,0.010000000000000009,2.9000000000000057,1
0.10000000000000142,0.0,19.0,-16.0,-3.0,35.0,0.21400000000000002,75.0,-24.0,1.1700000000000002,-0.04,0.6299999999999999,23.0,20.0,8.329999999999998,-4.0,46.0,5.1000000000000085,-2.0,-3.0,382.0,1.8999999999999995,-181.0,0.0030000000000000027,1.5999999999999943,1
0.8000000000000007,0.0,7.0,-3.0,-4.0,10.0,0.06099999999999994,-32.0,-71.0,0.45,-0.030000000000000002,-1.25,-9.0,-30.0,-1.2799999999999976,-14.0,-43.0,2.700000000000003,-6.0,0.0,219.0,-2.0999999999999996,27.0,0.028000000000000025,0.7999999999999972,1
-0.5999999999999979,0.0,-2.0,2.0,0.0,-4.0,-0.025000000000000022,-22.0,-10.0,-0.13,0.019999999999999997,-0.3899999999999997,-32.0,-81.0,-5.969999999999999,-11.0,-44.0,1.0699999999999932,5.0,-5.0,117.0,-1.3000000000000007,131.0,0.008000000000000007,-0.4000000000000057,0
1.0,0.0,21.0,-14.0,-7.0,35.0,0.21299999999999997,43.0,-67.0,1.27,-0.08,-0.2999999999999998,7.0,23.0,1.1499999999999986,-15.0,-33.0,3.940000000000012,2.0,-4.0,-79.0,2.1999999999999993,-73.0,0.02300000000000002,3.700000000000003,1
0.9000000000000021,0.0,-7.0,3.0,4.0,-10.0,-0.06099999999999994,-12.0,26.0,-0.43,0.03,0.17000000000000082,-2.0,1.0,-0.8699999999999992,5.0,7.0,-1.6699999999999875,0.0,-1.0,-236.0,0.09999999999999964,446.0,0.008000000000000007,0.7000000000000028,0
-1.5,0.0,-4.0,1.0,3.0,-5.0,-0.030000000000000027,6.0,7.0,-0.08000000000000002,-0.07,0.14999999999999947,5.0,21.0,0.5700000000000003,-1.0,23.0,2.1099999999999994,2.0,3.0,-75.0,0.5,326.0,0.0050000000000000044,1.1000000000000085,0
1.8999999999999986,0.0,-1.0,5.0,-4.0,-6.0,-0.03600000000000003,-34.0,-18.0,-0.17,0.02,-0.6400000000000006,-19.0,-44.0,-4.100000000000001,-9.0,2.0,3.530000000000001,4.0,2.0,-405.0,0.0,34.0,0.008000000000000007,0.5,1
-2.5,0.0,8.0,-3.0,-5.0,11.0,0.06700000000000006,15.0,16.0,-0.01999999999999999,-0.019999999999999997,0.3700000000000001,-12.0,-18.0,-3.6099999999999994,10.0,-3.0,-3.8200000000000074,3.0,-5.0,-136.0,0.9000000000000004,-35.0,-0.008000000000000007,0.0,0
1.0999999999999979,0.0,2.0,-2.0,0.0,4.0,0.02399999999999991,4.0,-9.0,0.09999999999999998,-0.06,-0.07000000000000028,-17.0,-19.0,-5.5,-5.0,-22.0,0.6000000000000085,7.0,1.0,47.0,0.1999999999999993,184.0,0.01100000000000001,1.1000000000000085,1
2.3000000000000007,0.0,-12.0,5.0,7.0,-17.0,-0.10399999999999998,-56.0,12.0,-0.7999999999999999,0.039999999999999994,-0.5399999999999991,-13.0,-36.0,-2.5299999999999976,8.0,-7.0,-3.6599999999999966,-6.0,0.0,88.0,-2.799999999999999,137.0,0.0020000000000000018,-2.0,0
0.29999999999999716,0.0,5.0,-4.0,-1.0,9.0,0.05500000000000005,-21.0,-14.0,-0.08000000000000002,0.0,-0.4299999999999997,-20.0,5.0,-8.79,-8.0,-9.0,2.4599999999999937,3.0,0.0,-85.0,-0.6000000000000014,99.0,0.01100000000000001,0.20000000000000284,1
-0.5999999999999979,0.0,17.0,-13.0,-4.0,30.0,0.183,64.0,4.0,0.7,-0.03,0.8300000000000001,5.0,27.0,-0.019999999999999574,19.0,27.0,-6.859999999999999,8.0,-1.0,247.0,1.5000000000000009,88.0,0.0,1.5,1
0.0,0.0,16.0,-23.0,7.0,39.0,0.23799999999999993,50.0,-67.0,1.3599999999999999,-0.07,-0.20999999999999996,1.0,17.0,-0.9699999999999989,-20.0,-43.0,4.230000000000004,3.0,-5.0,143.0,1.6999999999999993,-505.0,0.009000000000000008,2.3000000000000114,0
